,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
874,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1901,Graduation,Single,30s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Store
1564,Master,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1756,PhD,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1186,2n Cycle,Widow,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1334,PhD,Married,20s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1085,Master,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
873,PhD,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
98,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
251,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1307,Master,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
789,Graduation,Married,60s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
614,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1360,PhD,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1023,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1172,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
795,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
242,2n Cycle,Together,50s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
5,Master,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
139,Master,Married,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1675,PhD,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1386,Graduation,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
645,PhD,Together,60s,High,Children,Wine,Fruits,Meat,Sweets,Store
2124,Master,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
915,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
322,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1137,PhD,Widow,60s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1263,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1935,Graduation,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1193,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1506,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
528,Graduation,Widow,40s,Medium,Children,No Wine,No Fruits,Meat,Sweets,Web
1504,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2155,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
371,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
236,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
2134,Master,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
298,Master,Together,80s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Web
1491,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1498,Graduation,Single,30s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
2145,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1632,PhD,Widow,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1174,PhD,Single,50s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
1273,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
465,PhD,Married,30s,High,Children,Wine,Fruits,No Meat,No Sweets,Store
124,PhD,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
992,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
930,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1117,Master,Married,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
1067,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1072,Graduation,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1461,Master,Single,20s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
1411,2n Cycle,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1451,PhD,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
462,Graduation,Married,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1232,Graduation,Divorced,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
984,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
396,Graduation,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
728,Master,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
477,PhD,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
92,PhD,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
965,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1124,PhD,Divorced,40s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
895,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1233,Basic,Single,80s,Low,Children,No Wine,Fruits,No Meat,Sweets,Web
1541,Graduation,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1347,Graduation,Together,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1153,2n Cycle,Married,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
869,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
642,Graduation,Divorced,30s,High,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
524,Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
214,Graduation,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
565,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1463,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
735,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
292,Graduation,Single,20s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
1200,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1322,Graduation,Married,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Web
374,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
170,2n Cycle,Married,20s,Low,Children,No Wine,Fruits,No Meat,Sweets,Store
979,Master,Together,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
2190,2n Cycle,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1777,Graduation,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
556,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1744,2n Cycle,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
722,Graduation,Married,60s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
1474,PhD,Divorced,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
281,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1049,PhD,Single,20s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
517,2n Cycle,Widow,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
508,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1885,Master,Married,20s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
604,PhD,Together,30s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1195,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
639,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
2079,2n Cycle,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1992,PhD,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1421,Graduation,Married,40s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
603,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1857,Graduation,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
375,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2152,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
475,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
510,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1212,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1419,Graduation,Married,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
554,Master,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1936,PhD,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
666,PhD,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
767,PhD,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
191,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
903,Master,Together,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
1579,Master,Together,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1430,Graduation,Married,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1721,Graduation,Married,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
490,PhD,Married,20s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1159,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1505,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1369,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
190,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
397,2n Cycle,Single,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
1196,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1467,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
816,Graduation,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
668,Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2130,Graduation,Widow,40s,Medium,Children,Wine,No Fruits,No Meat,Sweets,Web
489,Basic,Married,20s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Web
719,Graduation,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
169,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1804,Master,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
867,Graduation,Single,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Web
1720,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
569,2n Cycle,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
129,Master,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1670,Graduation,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
2203,Graduation,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Web
11,Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1529,2n Cycle,Married,20s,Medium,No Children,No Wine,Fruits,No Meat,No Sweets,Store
1715,Graduation,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1692,PhD,Married,30s,Medium,Children,Wine,Fruits,No Meat,Sweets,Store
1136,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
229,Graduation,Widow,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1772,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
842,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
661,PhD,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
163,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1400,Graduation,Together,60s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
625,Master,Divorced,60s,High,Children,Wine,Fruits,Meat,Sweets,Store
2024,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1956,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1063,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1169,PhD,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1006,Graduation,Single,30s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Store
579,Master,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1062,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2186,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1649,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
349,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
891,Graduation,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
689,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
577,PhD,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1973,PhD,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1707,PhD,Single,20s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
329,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1930,Master,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
337,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
234,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2195,Graduation,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1724,Graduation,Together,20s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1953,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
2007,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
2110,Basic,Married,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Web
2092,Master,Together,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1399,Basic,Together,40s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Web
157,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
706,Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
774,PhD,Divorced,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
2177,Basic,Single,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
1513,2n Cycle,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1255,PhD,Married,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1821,2n Cycle,Married,50s,High,Children,Wine,Fruits,No Meat,No Sweets,Web
2107,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
798,Graduation,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1753,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
862,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1324,Master,Married,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
1845,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
222,Graduation,Single,60s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
353,Graduation,Married,50s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
2070,Graduation,Absurd,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2187,2n Cycle,Divorced,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1231,PhD,Together,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
2146,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1294,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1818,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1824,Master,Widow,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
878,Master,Widow,40s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
811,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1527,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1083,Graduation,Divorced,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1641,2n Cycle,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
868,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1092,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1086,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1620,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1206,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1402,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1028,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1301,2n Cycle,Married,20s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
850,2n Cycle,Together,20s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
1958,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
771,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
472,PhD,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1317,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Web
1166,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
592,Master,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
831,2n Cycle,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1616,Graduation,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1843,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
78,Graduation,Divorced,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1053,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1924,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
633,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
394,PhD,Divorced,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
1542,PhD,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1407,Graduation,Married,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1998,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
690,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
612,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1899,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
875,Graduation,Together,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
806,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1286,Graduation,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1300,2n Cycle,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1966,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1856,PhD,Single,60s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1141,Master,Married,50s,Medium,Children,Wine,No Fruits,No Meat,Sweets,Store
934,Graduation,Divorced,30s,High,Children,Wine,Fruits,No Meat,Sweets,Store
217,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1812,Master,Together,30s,Low,Children,No Wine,Fruits,No Meat,Sweets,Web
1135,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1862,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1282,Master,Together,50s,High,Children,No Wine,No Fruits,No Meat,Sweets,Store
2131,Master,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1834,Graduation,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1761,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1481,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
2060,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1730,Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
149,Master,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2011,Master,Together,60s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
261,PhD,Together,30s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
2213,Graduation,Divorced,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1878,Graduation,Divorced,60s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Store
543,PhD,Single,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1091,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1795,Master,Married,40s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
688,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
150,PhD,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1621,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1601,Graduation,Married,40s,High,Children,No Wine,Fruits,Meat,Sweets,Store
523,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1800,Graduation,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1015,PhD,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1497,2n Cycle,Together,30s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Web
677,PhD,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
2014,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
710,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
245,PhD,Together,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1592,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1288,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
395,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
249,Graduation,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
237,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
760,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
833,2n Cycle,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1985,Graduation,Married,40s,Low,Children,No Wine,Fruits,No Meat,Sweets,Web
2123,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
846,2n Cycle,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
618,PhD,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
58,PhD,Widow,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
2162,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
2088,PhD,Together,30s,Medium,No Children,Wine,Fruits,Meat,No Sweets,Store
2127,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
692,Graduation,Married,20s,High,Children,Wine,Fruits,Meat,Sweets,Web
1645,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1949,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
962,Graduation,Married,40s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
285,2n Cycle,Divorced,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1207,Basic,Single,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
1693,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
736,2n Cycle,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
883,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
624,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
110,Graduation,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1698,Graduation,Together,20s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
716,Graduation,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1894,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1918,2n Cycle,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1836,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Web
847,Graduation,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2057,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
522,Master,Together,60s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
107,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1778,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
590,PhD,Married,60s,High,Children,Wine,Fruits,Meat,No Sweets,Store
312,Graduation,Married,50s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
283,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1156,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1227,Basic,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
420,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1676,2n Cycle,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1276,Graduation,Married,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
286,Master,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
162,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
267,PhD,Single,20s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
119,PhD,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1168,Graduation,Married,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
431,2n Cycle,Married,30s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2072,PhD,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2095,Master,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1278,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1376,2n Cycle,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2008,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1550,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1926,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
